0	1	2	3	4	5
2365039	1733777	What direction is the zebra looking?	Left.	Wani ɓangare jakin dawan yake kallo?	Hagu.
2340332	587239	What is the name of the player standing at the home base?	Mauer.	Menene sunan ɗan wasan dake tsaye a ƙarshen gidan?	Mauer.
2395647	1449366	What can the people use to lean on?	Railing.	Da me mutanen zasu iya amfani su jingina?	Ƙarfen jingina.
2365369	1740475	What is covering the ground?	Snow.	Menene ya rufe ƙasa?	Dusar ƙanƙara.
2361297	1659240	What is the number of zebras in the picture?	Zero.	Menene adadin jakunan dawan hoton?	Sifili.
2361297	1659229	What is in the man's right hand?	Tennis racket.	Menene a hannun daman mutumin?	Raket ɗin wasan tanis.
2415913	938457	What color is the curtain?	White.	Menene launin labulen?	Fari.
2318831	905704	How many zebras are in the photo?	Two.	Nawane adadadin jakunan dawa a cikin hoton?	Biyu.
2376728	965880	Where is the picture taken?	At a table.	A ina aka ɗauka hoton?	A tebur.
2408726	1066452	What is the color of the table?	Brown.	Menene launin teburin?	Ruwan ƙasa.
2359902	1630614	How does the rim look like?	White.	Kamar yaya iyakar take?	Fari.
2370992	1854146	What is between the wooden sections?	A crack.	Menene a tsakanin sassan itacen?	Tsagu.
2414132	143335	What type of vehicle is in front on the left side of the picture?	Minivan.	Wani irin abin hawa ne a gaba a gefen hagun hoton?	Ƙaramar motar ɗaukan kaya.
2373313	1903377	Where is the laptop?	On the bed.	Ina kwamfutar tafi-da-gidankan?	A kan gadon.
2373313	1903381	Where is the white sheet?	On the bed.	Ina farin shimfiɗar?	A kan gadon.
2396561	1516298	What is the woman wearing?	Tan pants.	Me matar take sanye dashi?	Wando tan.
2326262	278260	Where was this picture taken?	A library.	A ina aka ɗauka wannan hoton?	Ɗakin karatu.
2390993	546780	Who is the man?	No indication.	Waye mutumin?	Babu alama.
2360727	1647755	Who is pictured?	A woman.	Wa aka nuna?	Mata.
2360727	1647753	Who is pictured?	A woman.	Wa aka nuna?	Mata.
2400596	1225521	What is in the bowl?	Chopped tomatoes.	Menene a cikin tasan?	Yankakkun tumatir.
2400596	1225513	What type of color is the hat?	Black.	Wani irin launi ne da hulan?	Baƙi.
2372150	1878553	What is the sheet color?	White.	Menene launin shimfiɗan?	Fari.
2374167	752082	How is the photo?	Clear.	Yaya hoton?	Bayyananne.
2330978	402853	Where are the skateboards?	On the ground.	Ina allunan sulu mai taya?	A ƙasa.
2329138	404324	Where are shadows?	On the ground.	Ina inuwa?	A ƙasa.
2329138	404326	Where are clouds?	In the sky.	Ina gajimare?	A sama.
2370863	1851484	What is black at the rear end of the bicycle?	Tire.	Menene baƙi a ƙarshen bayan keken?	Taya.
2328500	340838	What is seen along the shore?	Rocks.	Menene aka gani a kusa da gaɓar ruwa?	Duwatsu.
2415316	933674	What is the man holding?	An umbrella.	Me mutumin yake riƙe dashi?	Lema.
2367880	1790503	What looks cheesy?	Pizza.	Menene yayi maiƙo?	Fizza.
2354438	384082	What is over their heads?	Umbrella.	Menene a saman kansu?	Lema.
2354438	384087	What is the mother doing?	Walking.	Me uwar takeyi?	Tafiya.
2385206	743260	Why the stop is red?	So it's visible.	Meyasa stop ɗin ya zama ja?	Saboda a iya gani.
2410068	1095939	What color are the scissors handles in the background?	Blue and green.	Menene launin hannun almakashin a bayan?	Shuɗi da kore.
2353595	512697	What is the dog sitting on?	Rug.	Akan me karen yake zaune?	Kilishi.
2353595	512695	What type of animal is in this picture?	Dog.	Wacce irin dabba ce a cikin wannan hoton?	Kare.
2395647	1385747	What mode of transportation is visible?	Boat.	Wani hanyar sufuri ake iya gani?	Jirgin ruwa.
2324679	858917	What color is the sky?	Gray.	Menene launin sama?	Launin toka.
2333753	592491	Why was the woman holding a hose?	To clean the lamb.	Meyasa matar take riƙe da tiyo?	Dan wanke ɗan tunkiyan.
2365369	631158	Who is carrying the black umbrella?	A man.	Waye yake ɗauke da baƙar lema?	Mutumi.
2392682	1435561	What sort is being played?	Ultimate frisbee.	Wani irin wasan sukeyi?	Frisbee na ƙarshe.
2384775	487754	What is the man wearing around his neck?	A tie.	Me mutumin yake sanye dashi kewaye da wuyan shi?	Ɗamarar wuya.
2318831	905702	When was this photo taken?	In the daytime.	Yaushe aka ɗauka hoton?	Cikin lokacin rana.
2415420	934509	Where are the urinals?	On the wall.	Ina gurin fitsari?	A jikin bango.
2376233	1962255	What is in the sky that is big?	The airplane.	Menene a sama da ya kasance babba?	Jirgin saman.
2376233	558563	How many planes are there?	One.	Nawane adadin jiragen sama a gurin?	Ɗaya.
2384817	423672	Why is the shuttle on the aircraft?	It's being transported.	Meyasa shuttle ɗin akan jirgin saman?	Ana safarar shi.
2384817	423676	What color is the plane?	White.	Menene launin jirgin saman?	Fari.
2384817	423679	What color is the space shuttle?	White with black trim.	Menene launin shuttle ɗin saman?	Fari da ratsin baƙi.
2376728	1972506	What is the cake kept on?	A plate.	Akan me aka ajiye kek ɗin?	Faranti.
2408726	1066436	Where is handwriting?	On white paper.	Ina rubutun hannu?	A kan farar takarda.
2370799	1850018	What is on the cyclist's back?	A back-pack.	Menene a bayan masu tuƙin babur ɗin?	Jakar baya.
2375728	1951670	What is covering the table?	A white cloth.	Menene ya rufe tebur ɗin?	Farin tufafi.
2375728	1951667	What is the mug's color?	Green.	Menene launin kofin tangaran ɗin?	Kore.
2340094	523503	How many different kinds of animals are in the photo?	Two.	Nawane adadin dabbobi iri daban-daban a cikin hoton?	Biyu.
2370992	1854132	What button can a person press to return to the main menu?	The home key.	Wani madannin mutum zai iya dannawa ya dawo babban mazaba?	Madannin gida.
2382724	809242	What animal is on the shelf?	Duck.	Wacce dabba ce a kan katakon ajiya?	Agwagwa.
2336673	590161	What is this a picture of?	A dog with a frisbee.	Hoton menene wannan?	Kare tareda frisbee.
2338059	397179	What color is the blender?	Red.	Menene launin na'urar markaɗen?	Ja.
2338059	397181	What snacks are shown?	Potato chips.	Wasu kayan ciye-ciye aka nuna?	Chips ɗin dankali.
2326262	278259	When was this picture taken?	Daytime.	Yaushe aka ɗauka wannan hoton?	Da rana.
2332193	855459	What time of day is it?	Day time.	Wani lokacin rana ne wannan?	Da rana.
2391656	1491067	What type of sauce is on the pizza?	Tomato sauce.	Wacce irin miya ce a kan fizza?	Miyar tumatir.
2413552	1009106	When did the woman go surfing?	During high tide.	Yaushe matar taje hawan igiyar ruwa?	Lokacin yawan igiyar ruwa.
2390993	1427272	What is the man riding?	Horse.	Me mutumin yake hawa?	Doki.
2372875	1894405	How is the street?	Empty.	Ya titin?	Fanko.
2374167	1920871	What is the dress code?	Formal.	Menene tsarin kayan?	Na al'ada.
2394177	1377084	What are the dogs standing on/ near?	Motorcycle.	A kan/kusa da me karnunan suke tsaye?	Babur.
2330978	402848	When was the picture taken?	Daytime.	Yaushe aka ɗauka hoton?	Da rana.
2335797	460394	What room was this taken in?	Bedroom.	A wani ɗaki aka ɗauka wannan?	Ɗakin kwana.
2400498	347232	Where is the hand?	Next to the pillow.	Ina hannun?	Kusa da matashin kai.
2370863	1851504	What is the girl riding?	A bicycle.	Me yarinyar take tuƙawa?	Keke.
2317544	916000	Why are the women carrying umbrellas?	Rainy weather.	Meyasa matan suke ɗauke da lema?	Yanayin damina.
2393970	672273	What is the man holding?	A camera.	Me mutumin yake riƙe dashi?	Kamara.
2354438	384085	Who are these people?	Mother and child.	Su waye waɗannan mutanen?	Uwa da ɗa.
2335177	460733	What color are the man's shoes?	Black.	Menene launin takalman mutumin?	Baƙi.
2407651	1043061	Where is the diamond pattern?	On the window.	Ina tsarin lu'u lu'un?	A jikin tagan.
2389352	1351395	What is reflected on the ground?	The boys' shadows.	Menene ya nuna a ƙasa?	Inuwar mazan.
2389352	956241	When was this picture taken?	Daytime.	Yaushe aka ɗauka hoton?	Da rana.
2403773	1289972	What is the shade of the cat's eyes?	Green.	Menene launin idon magen?	Kore.
2410990	168469	What is behind the sheep?	A fence.	Menene a bayan tumakan?	Shinge.
2392923	1436741	What is under the hat?	Two ties.	Menene a ƙasan hular?	Ɗamarar wuya biyu.
2391010	674638	What color is the plate?	White.	Menene launin farantin?	Fari.
2340332	587240	What is the number of the player standing at home base?	7	Menene lambar ɗan wasan dake tsaye a tushen gida?	7
2395647	1449363	What are the people doing?	Unloading.	Me mutane sukeyi?	Sauke kaya.
2333753	592497	What color is the first chair?	Green.	Menene lauyin kujerar farkon?	Kore.
2384775	487758	Who is wearing glasses?	The man.	Waye yake sanye da tabarau?	Mutumin.
2318831	905699	What color is the grass?	Green.	Menene launin ciyawar?	Kore.
2318831	905700	Where are the zebras?	In a field.	Ina jakunan dawan?	A cikin fili.
2401010	666643	What color is the door?	Brown.	Menene launin ƙofar?	Ruwan ƙasa.
2364944	1731844	What kind of linoleum is this?	Green linoleum.	Wani irin linoleum ne wannan?	Koren linoleum.
2401582	1247063	What is next to 2012?	Heart.	Menene a gaban 2012?	Zuciya.
2401582	1247076	What is the male bear's role in the wedding ceremony?	Groom.	Menene rawar da namijin beya zai taka a bikin auren?	Ango.
2376728	1972477	What is on the napkin?	A white design.	Menene akan adikon goge bakin?	Farin zane.
2408726	1066448	What color is the table?	Brown.	Menene launin tebur ɗin?	Ruwan ƙasa.
2409658	1086488	What is black?	Player's outfit.	Menene baƙi?	Kayan ɗan wasan.
2415601	935959	What vehicles are pictured?	Cars.	Wasu ababan hawa aka nuna?	Motoci.
2415601	935958	What color is the cross walk light?	Red.	Menene launin fitilan tsallakan?	Ja.
2359902	1630608	Where is there green?	Floor.	A ina kore yake?	Ƙasa.
2349358	388150	When was this?	Daytime.	Yaushene wannan?	Da rana.
2405799	209996	Where is the bench?	Near a park.	Ina bencin?	Kusada gurin shaƙatawa.
2338059	397176	How many people are there?	One.	Nawane adadin mutanen gurin?	Ɗaya.
2316899	921155	What is the stuffed animal?	A teddy bear.	Wacce 'yar tsanar dabbar ce?	Ƴar tsana.
2409074	1073998	What is on top of the station wagon?	A surfboard.	Menene a saman station wagon ɗin?	Allon hawan igiyan ruwa.
2400596	1225498	What is in the bowl?	Tomatoes.	Menene a cikin tasan?	Tumatir.
2335797	460395	How many white pillows are in the photo?	2	Nawane adadin matashin kai a hoton?	2
2322887	873253	Who is the man?	A fireman.	Waye mutumin?	Mai kashe gobara.
2400498	1223103	What is the wall made of?	Corkboard.	Dame akayi bangon?	Allon cork.
2385913	550820	What color is the lemon?	Yellow.	Menene launin lemun tsamin?	Ruwan ɗorawa.
2385913	550818	When was this picture taken?	Daytime.	Yaushe aka ɗauka hoton?	Da rana.
2335099	399545	What is on the desk?	Computer.	Menene a kan tebur ɗin?	Kwamfuta.
2328500	340839	What is up on top of the bank?	Houses.	Menene a sama a kan bakin ruwan?	Gidaje.
2378433	556799	Where was the pic taken?	In the woods.	A ina aka ɗauka hoton?	A cikin daji.
2317544	915994	How many people are in the photo's foreground?	Three.	Nawane adadin mutanen gaban filin hoton?	Uku.
2379652	555831	What is the sky like?	Overcast.	Kamar yaya sama take?	A rufe.
2393970	1375972	What is on the net?	Display.	Menene akan ragar?	Nuni.
2393748	1374809	Where is the number 5?	On red shirt.	Ina lamba 5?	A jikin jar rigar.
2321185	886867	What animals are in the picture?	Horses and a bird.	Wasu dabbobi ne a cikin hoton?	Dawakai da tsuntsu.
2321185	886870	What color vest do the riders have on?	Bright green.	Wani launin riga mahayan suka sanya?	Kore mai haske.
2321185	886869	When was this picture taken?	During daylight.	Yaushe aka ɗauka wannan hoto?	Lokacin hasken rana.
2389352	957762	When was this photo taken?	Daytime.	Yaushe aka ɗauka wannan hoton?	Da rana.
2408770	1067248	What game is the man playing?	Baseball.	Wani wasa mutumin yake yi?	Wasan Baseball.
2392923	1562201	What pattern is on the two ties?	Stripes.	Menene tsarin jikin ɗamarorin wuya biyun?	Ratsi.
2353595	512699	How many pairs are shoes are there?	3	Nawane adadin takalma ƙafa biyu a gurin?	3
2342072	585847	How many words are on the remote control?	One.	Kalmomi nawane a jikin masarrafin tazara?	Ɗaya.
2318831	905703	What are the zebras doing in the photo?	Standing.	Me jakunan dawan sukeyi a hoton?	Tsayuwa.
2327133	597777	What number is on top of the front of the bus?	516	Wacce lamba ce a saman gaban bas ɗin?	516
2364944	823466	Where is the tub?	Across from sink.	Ina bahon?	Ƙetare daga sink.
2410197	1098551	What is at the top?	Building.	Menene a saman?	Gini.
2375728	1951671	What is on the side of the round food?	Veggie.	Menene a gefen abinci mai zagaye?	Kayan lambu.
2340094	523505	How many dogs are in the picture?	One.	Nawane adadin karnuka a hoton?	Ɗaya.
2349358	388151	How is the photo?	Clear.	Yaya hoton?	Bayyananne.
2370992	562757	Where is the wood surface?	Under the cellphone.	Ina saman katakon?	Ƙarƙashin wayar salula.
2414132	143332	What do the signs mean?	Wrong way.	Me alamomin suke nufi?	Hanya ba daidai ba.
2316899	921160	How many stuffed animals do you see?	One.	Nawane adadin 'yar tsanar dabba?	Ɗaya.
2413552	147970	Where is the woman?	In the ocean.	Ina matar?	A cikin tekun.
2409074	183799	How many cars are there?	2	Nawane adadin motoci a gurin?	2
2394177	1377081	What kind of pets are these?	Dogs.	Wasu irin dabbobin gidane waɗannan?	Karnuka.
2339344	843948	How many yellow flowers facing the camera?	3	Nawane adadin fure ruwan ɗorawa masu fuskantar kamara?	3
2392791	1436107	What is on the plate?	Food.	Menene akan farantin?	Abinci.
2378433	556803	What is surrounding it?	Trees.	Menene yake zagaye dashi?	Bishiyoyi.
2316490	924429	What is white?	Cat.	Menene fari?	Kuliya.
2316490	924428	Who took the picture?	Man.	Waye ya ɗauka hoton?	Mutumi.
2367880	1790535	What are the brown things on the pizza?	Mushrooms.	Wacce irin miya ce a kan fizza?	Leman kwaɗo.
2393970	1502934	Who is carrying a very large camera?	A man wearing a visor and knee-high shorts.	Waye yake ɗauke da babbar kamara?	Mutumi sanye da abin kare fuska da guntun wandon saman gwiwa.
2332991	721027	Where was the picture taken?	Tennis court.	A ina aka ɗauka hoton?	Filin tanis.
2332991	721034	How many players?	One.	Nawane adadin 'yan wasa ?	Ɗaya.
2335177	460730	What is the man using?	A trimmer.	Me mutumin yake amfani dashi?	Aska.
2385206	743261	Where is the street sign?	On the sidewalk.	Ina alamar titin?	A gefen hanyan.
2392303	1494579	What are the tops of the towers like?	Pointed.	Kamar yaya saman hasumiyoyin suke?	Mai tsini.
2392303	1494573	What is front of the palace?	A calm lake.	Menene gaban fadan?	Tsayayyan tafki.
2403773	1289973	What is the tv sitting on?	Shelf.	Akan me talabijin ɗin yake ajiye?	Katakon ajiya.
2365039	1733774	What striped black and white animal is this?	Zebra.	Wacce dabba mai ratsin baƙi da fari ce wannan?	Jakin dawan.
2392923	1497976	What pattern is on tie?	Blue stripe.	Wani tsari ne a jikin ɗamarar wuya?	Shuɗin ratsi.
2353595	512696	What color is the dog?	Black.	Wani launi ne da karen?	Baƙi.
2345930	710700	What Color is the mascot's robe?	Maroon.	Menene launin tufar mascot?	Maroon.
2326701	342268	What color is the train?	Yellow and brown.	Menene launin jirgin ƙasan?	Rawaya da ruwan ƙasa.
2326701	342267	Who is waiting on the platform?	No one.	Wanene yake jira a dandamalin?	Babu kowa.
2361297	1659242	What kind of shoes?	Tennis shoes.	Wasu irin takalma?	Takalman tanis.
2415420	934507	How many sinks are in the photo?	One.	Nawane adadin sinks a cikin hoton?	Ɗaya.
2384817	423675	What is on top of the plane?	A space shuttle.	Menene a saman jirgin?	Shuttle ɗin sama.
2393380	288023	What is the color of the ground?	White.	Menene launin ƙasan?	Fari.
2393380	1500153	What is the front end?	Of the plane.	Menene ƙarshen gaban?	Na jirgin.
2410197	1109944	What is in the skier's hands?	Poles.	Menene a hannun mai sulun ƙanƙara?	Sanduna.
2409658	1086487	Where are white lines?	On the court.	Ina fararen layuka?	A filin.
2336673	590159	How long is the dog's tail?	Short.	Yaya tsayin wutsiyan karen?	Guntuwa.
2391656	1430387	What hand is holding the pizza?	Right hand.	Wani hannu ne riƙe da fizza ɗin?	Hannun dama.
2391656	1430382	Who is eating the pizza?	The girl.	Waye yake cin fizza ɗin?	Yarinyar.
2360727	1647747	What hand is holding the candy apple?	Right.	Wani hannune yake riƙe da alawan tuffa?	Dama.
2330978	402850	What is yellow?	Helmet.	Menene ruwan ɗorawa?	Hular kwano.
2339344	843953	What color are the rocks on shore?	Grey.	Menene launin duwatsun bakin ruwa?	Ruwan toka.
2335797	460393	Who is holding the remote?	Boy.	Waye riƙe da masarrafan tazara?	Yaro.
2322887	873251	How many people on skiis?	One.	Nawane adadin mutane a kan allon sulun ƙanƙara?	Ɗaya.
2389363	1542700	What sport is being played?	Tennis.	Wani wasa akeyi?	Tanis.
2359510	699836	What are the eyelashes?	Grass.	Menene gashin idon?	Ciyawa.
2392791	673205	Where is the man sitting?	At at table.	A ina mutumin yake zaune?	A gurin tebur.
2391500	1490295	What kind of pants is the man wearing?	Jeans.	Wani irin wando mutumin yake sanye dashi?	Jeans.
2391500	1554387	What is the man facing?	The camera.	Me mutumin yake fuskanta?	Kamarar.
2379652	555833	What is the weather like?	Fair.	Kamar ya yanayin yake?	Daidai.
2332991	721031	Who is in the picture?	Woman.	Waye a hoton?	Mata.
2392303	225801	What is the clocktower called?	Big Ben.	Me ake kiran hasumiyar agogo?	Big Ben.
2321878	881323	What has grown from the ground?	Grass and trees.	Menene ya tsiro daga ƙasa?	Ciyawa da bishiyoyi.
2410990	1320501	What is the animal on the extreme left?	A ram.	Wacce dabba ce a ƙarshen  hagu?	Rago.
2333753	592493	How many chairs are there in the photo?	Three.	Nawane adadin kujeru a cikin hoton?	Uku.
2326701	342265	What vehicle is in the picture?	A train.	Wani abin hawa ne a hoton?	Jirgin ƙasa.
2326701	342264	What number is on the sign?	4	Wacce lamba ce a jikin alamar?	4
2415420	934506	What is this a photo of?	A bathroom.	Hoton menene wannan?	Ban ɗaki.
2376728	1972469	What is on the napkin?	Forks.	Menene akan adikon goge bakin?	Cokula masu yatsu.
2373667	1910712	How is the sky above?	Cloudy.	Yaya yanayin saman?	Gajimare.
2405799	209997	What color is the bench?	Gray with printing.	Menene launin bencin?	Ruwan toka da rubutun bugu.
2373313	1903372	Where is the laptop?	On the bed.	Ina kwamfutar tafi-da-gidankan?	A kan gadon.
2326262	278261	What is the woman looking at?	Computer screen.	Me matar take kallo.?	Fuskar kwamfuta.
2383244	808833	What color is the puppy?	Brown and white.	Menene launin ɗan kwikwiyon?	Ruwan ƙasa da fari.
2409074	183796	Why is a surfboard on the roof?	It is too long for the inside.	Meyasa allon wasan igiyan ruwan a kan rufin?	Yayi tsayi sosai wa cikin.
2409074	1073990	How many headlights?	Two.	Nawane adadin fitilun gaba?	Biyu.
2326635	534267	When will the fountain stop?	It is a continous flow.	Yaushe ɓulɓulan zata tsaya?	Ta kasance mai cigaba da gudana.
2389363	1542693	Who is wearing glasses?	Tennis player.	Waye yake sanye da tabarau?	Ɗan wasan tanis.
2359510	699841	How is the snowman standing up?	Two sticks.	Ta yaya mutumin dusar ƙanƙarar ya tsaya?	Sanduna biyu.
